Date,Open,High,Low,Close,Volume
2013-06-30,15123.55,15340.09,14551.27,14909.6,2929249978
2013-07-31,14911.6,15634.32,14858.93,15499.54,2622878858
2013-08-31,15503.85,15658.43,14760.41,14810.31,2327544577
2013-09-30,14801.55,15709.58,14777.48,15129.67,2371720939
2013-10-31,15132.49,15721,14719.43,15545.75,2206344790
2013-11-30,15558.01,16174.51,15522.18,16086.41,1820207006
2013-12-31,16087.12,16588.25,15703.79,16576.66,2057420883
2014-01-31,16572.17,16573.07,15617.55,15698.85,2177151828
2014-02-28,15697.69,16398.95,15340.69,16321.71,2067904221
2014-03-31,16321.71,16505.7,16046.99,16457.66,2095904932
2014-04-30,16457.66,16631.47,16015.32,16580.84,1987129385
2014-05-31,16580.84,16735.35,16341.43,16705.45,1643139156
2014-06-30,16705.45,16977.85,16674.23,16826.6,1755275628
2014-07-31,16826.6,17151.36,16563.3,16563.3,1690749366
2014-08-31,16563.3,17153.8,16334.67,17098.45,1482576217
2014-09-30,17098.45,17350.64,16934.43,17042.9,1870490414
2014-10-31,17040.46,17395.54,15855.12,17390.52,2903206632
2014-11-30,17390.9,17894.83,17278.36,17828.24,1516427467
2014-12-31,17827.27,18103.45,17067.59,17823.07,2216951201
2015-01-31,17823.07,17951.78,17136.3,17164.95,2173202910
2015-02-28,17169.99,18244.38,17037.76,18132.7,1751218583
2015-03-31,18134.05,18288.63,17579.27,17776.12,2470682017
2015-04-30,17778.52,18175.56,17585.01,17840.52,2175272088
2015-05-31,17859.27,18351.36,17733.12,18010.68,1832309213
2015-06-30,18017.82,18188.81,17576.5,17619.51,2219116304
2015-07-31,17638.12,18137.12,17399.17,17689.86,2034088475
2015-08-31,17696.74,17704.76,15370.33,16528.03,2726304703
2015-09-30,16528.03,16933.43,15942.37,16284.7,2723820869
2015-10-31,16278.62,17799.96,16013.66,17663.54,2605687461
2015-11-30,17672.62,17977.85,17210.43,17719.92,2334861612
2015-12-31,17719.72,17901.58,17116.73,17425.03,2521879871
2016-01-31,17405.48,17405.48,15450.56,16466.3,2844197494
2016-02-29,16453.63,16795.98,15503.01,16516.5,2491661143
2016-03-31,16545.67,17790.11,16545.67,17685.09,2407816982
2016-04-30,17661.74,18167.63,17484.23,17773.64,2096328747
2016-05-31,17783.78,17934.61,17331.07,17787.2,1879054637
2016-06-30,17754.55,18016,17063.08,17929.99,2350016766
2016-07-31,17924.24,18622.01,17713.45,18432.24,1816663018
2016-08-31,18434.5,18668.44,18247.79,18400.88,1695735389
2016-09-30,18396.57,18551.54,17992.21,18308.15,2101306923
2016-10-31,18279.6,18399.96,17959.95,18142.42,1793666835
2016-11-30,18158.24,19225.29,17883.56,19123.58,2107700671
2016-12-31,19149.2,19987.63,19138.79,19762.6,5952507426
2017-01-31,19872.86,20125.58,19677.94,19864.09,6482691463
2017-02-28,19923.81,20851.33,19831.09,20812.24,6185383273
2017-03-31,20957.29,21169.11,20412.8,20663.22,6942035108
2017-04-30,20665.17,21070.9,20379.55,20940.51,5392201255
2017-05-31,20962.73,21112.32,20553.45,21008.65,6613308882
2017-06-30,21030.55,21535.03,20994.22,21349.63,7214882468
2017-07-31,21392.3,21929.8,21279.3,21891.12,5569514537
2017-08-31,21961.42,22179.11,21600.34,21948.1,6150479176
2017-09-30,21981.77,22419.51,21709.63,22405.09,6341940955
2017-10-31,22423.47,23485.25,22416,23377.24,7302959733
2017-11-30,23442.9,24327.82,23242.75,24272.35,7335703657
2017-12-31,24305.4,24876.07,23921.9,24719.22,6590368516
2018-01-31,24809.35,26616.71,24741.7,26149.39,9117126283
2018-02-28,26083.04,26306.7,23360.29,25029.2,9450180054
2018-03-31,25024.04,25449.15,23509.06,24103.11,8873069419
2018-04-30,24076.6,24858.97,23344.52,24163.15,8064508838
2018-05-31,24117.29,25086.49,23531.31,24415.84,7278276865
2018-06-30,24542.09,25402.83,23997.21,24271.41,7411592082
2018-07-31,24161.53,25587.24,24077.56,25415.19,5408108334
2018-08-31,25461.63,26167.94,24965.77,25964.82,5635841471
2018-09-30,25916.07,26769.16,25754.32,26458.31,5262401382
2018-10-31,26598.36,26951.81,24122.23,25115.76,8373022849
2018-11-30,25142.08,26277.82,24268.74,25538.46,7227061516
2018-12-31,25779.57,25980.21,21712.53,23327.46,8101606648
2019-01-31,23058.61,25109.62,22638.41,24999.67,7188517750
2019-02-28,25025.31,26241.42,24883.04,25916,5434270409
2019-03-31,26019.67,26155.98,25208,25928.68,6733746763
2019-04-30,26075.1,26695.96,26062.59,26592.91,5854771710
2019-05-31,26639.06,26689.39,24809.51,24815.04,6358179063
2019-06-30,24830.16,26907.37,24680.57,26599.96,5544402249
2019-07-31,26805.86,27398.68,26616.21,26864.27,5207435889
2019-08-31,26879.86,27175.59,25339.6,26403.28,8171860345
2019-09-30,26198.26,27306.73,25978.22,26916.83,5045377658
2019-10-31,26962.54,27204.36,25743.46,27046.23,5661254779
2019-11-30,27142.95,28174.97,27142.95,28051.41,4925331913
2019-12-31,28109.74,28701.66,27325.13,28538.44,5081563145
2020-01-31,28638.97,29373.62,28169.53,28256.03,6170586773
2020-02-29,28319.65,29568.57,24681.01,25409.36,6991756038
2020-03-31,25590.51,27102.34,18213.65,21917.16,15521412270
2020-04-30,21227.38,24764.77,20735.02,24345.72,9795505862
2020-05-31,24120.78,25758.79,22789.62,25383.11,7803019742
2020-06-30,25342.99,27580.21,24843.18,25812.88,9780430980
2020-07-31,25879.38,27071.33,25523.51,26428.32,8309955277
2020-08-31,26542.32,28733.35,26534.38,28430.05,7578794030
2020-09-30,28439.61,29199.35,26537.01,27781.7,11075015810
2020-10-31,27940.63,28957.9,26143.77,26501.6,9685912322
2020-11-30,26691.28,30116.51,26691.28,29638.64,9628608626
2020-12-31,29797.5,30637.47,29599.29,30606.48,9698038696
2021-01-31,30627.47,31272.22,29856.3,29982.62,9455178658
